parcel_id,area_ha,mean_suitability,nearest_core_dist_m,second_core_dist_m,gap_distance_m,connectivity_improvement,geometry
48,878.0,0.7213631272315979,36.78298853201216,95.95779014447255,132.74077867648472,0.9778765368872525,"POLYGON ((394565.90479999967 208935.4020000007, 394565.90479999967 213985.4020000007, 389415.90479999967 213985.4020000007, 389415.90479999967 208935.4020000007, 394565.90479999967 208935.4020000007))"
87,2.25,0.6601067781448364,98.85678074368369,344.47407042132016,443.3308511650039,0.9261115248058327,"POLYGON ((395015.90479999967 211935.4020000007, 395015.90479999967 212185.4020000007, 394815.90479999967 212185.4020000007, 394815.90479999967 211935.4020000007, 395015.90479999967 211935.4020000007))"
275,2.5,0.8036835789680481,51.08444693239618,401.9336872917175,453.0181342241137,0.9244969776293144,"POLYGON ((397015.90479999967 204985.4020000007, 397015.90479999967 205185.4020000007, 396815.90479999967 205185.4020000007, 396815.90479999967 204985.4020000007, 397015.90479999967 204985.4020000007))"
436,11.5,0.8187566995620728,197.18445630307767,301.8661604611645,499.05061676424214,0.9168248972059596,"POLYGON ((381815.90479999967 201235.4020000007, 381815.90479999967 201635.4020000007, 380615.90479999967 201635.4020000007, 380615.90479999967 201235.4020000007, 381815.90479999967 201235.4020000007))"
407,3.0,0.685174286365509,200.10389694135372,305.77885479494245,505.8827517362962,0.9156862080439506,"POLYGON ((398215.90479999967 202285.4020000007, 398215.90479999967 202485.4020000007, 397965.90479999967 202485.4020000007, 397965.90479999967 202285.4020000007, 398215.90479999967 202285.4020000007))"
5,180.75,0.6946603059768677,242.54792884604734,288.8134980372579,531.3614268833053,0.9114397621861158,"POLYGON ((396765.90479999967 216485.4020000007, 396765.90479999967 218135.4020000007, 394915.90479999967 218135.4020000007, 394915.90479999967 216485.4020000007, 396765.90479999967 216485.4020000007))"
119,2.0,0.7816979885101318,232.5587400170737,305.88968793141987,538.4484279484935,0.9102585953419178,"POLYGON ((398965.90479999967 210535.4020000007, 398965.90479999967 210685.4020000007, 398815.90479999967 210685.4020000007, 398815.90479999967 210535.4020000007, 398965.90479999967 210535.4020000007))"
488,14.75,0.6265164017677307,208.01432750209864,376.0533596545253,584.067687156624,0.902655385473896,"POLYGON ((386615.90479999967 198335.4020000007, 386615.90479999967 198885.4020000007, 385765.90479999967 198885.4020000007, 385765.90479999967 198335.4020000007, 386615.90479999967 198335.4020000007))"
450,4.0,0.6500968933105469,125.31936283410569,484.0601538912307,609.3795167253364,0.8984367472124439,"POLYGON ((396315.90479999967 200735.4020000007, 396315.90479999967 201185.4020000007, 396015.90479999967 201185.4020000007, 396015.90479999967 200735.4020000007, 396315.90479999967 200735.4020000007))"
263,3.25,0.7672892808914185,201.11605583255312,414.1434400687092,615.2594959012623,0.8974567506831229,"POLYGON ((397115.90479999967 205335.4020000007, 397115.90479999967 205685.4020000007, 396965.90479999967 205685.4020000007, 396965.90479999967 205335.4020000007, 397115.90479999967 205335.4020000007))"
