Control_U_Water_Availability,Coherence_C_Soil_Fertility,Residual_r_Normalized_Respiration
0.1,32.72365265621069,0.2618532362777887
0.1090909090909091,32.32801147485545,0.2836907338186111
0.1181818181818182,32.01887093220017,0.3052003410059677
0.1272727272727273,31.783671304274904,0.32638205783985835
0.13636363636363635,31.61181709256051,0.3472358843202833
0.14545454545454545,31.494360780313098,0.36776182044724237
0.15454545454545454,31.423739192453095,0.38795986622073586
0.16363636363636364,31.393553452060367,0.4078300216407634
0.17272727272727273,31.398385110945718,0.4273722867073251
0.18181818181818182,31.43364233041578,0.4465866614204209
0.19090909090909092,31.49543105398158,0.4654731457800511
0.2,31.580446989181183,0.48403173978621544
0.2090909090909091,31.68588493566498,0.502262443438914
0.2181818181818182,31.80936258950095,0.5201652567381467
0.22727272727272727,31.948856442297227,0.5377401796839136
0.23636363636363636,32.10264779697722,0.554987212276215
0.24545454545454545,32.26927725517316,0.5719063545150501
0.2545454545454545,32.44750630670803,0.5884976064004196
0.26363636363636367,32.6362848797613,0.6047609679323235
0.2727272727272727,32.83472389938538,0.6206964391107613
0.28181818181818186,33.042072058937634,0.6363040199357335
0.2909090909090909,33.25769613932471,0.6515837104072398
0.3,33.48106431933533,0.6665355105252803
0.3090909090909091,33.71173201056806,0.6811594202898551
0.3181818181818182,33.94932982565381,0.695455439700964
0.32727272727272727,34.193553351207775,0.709423568758607
0.33636363636363636,34.444154449338654,0.7230638074627843
0.34545454545454546,34.7009338553521,0.736376155813496
0.3545454545454545,34.963734875945484,0.7493606138107416
0.36363636363636365,35.23243802291396,0.7620171814545215
0.3727272727272727,35.506956443152696,0.7743458587448357
0.38181818181818183,35.787232027377456,0.7863466456816841
0.3909090909090909,36.07323209816837,0.7980195422650666
0.4,36.36494659324866,0.8093645484949833
0.40909090909090906,36.66238567279994,0.820381664371434
0.4181818181818182,36.96557769048692,0.8310708898944192
0.42727272727272725,37.274567477046496,0.8414322250639388
0.4363636363636364,37.58941489305299,0.8514656698799921
0.44545454545454544,37.910193614040615,0.8611712243425799
0.4545454545454546,38.23699011672688,0.8705488884517019
0.4636363636363636,38.56990283980533,0.8795986622073579
0.47272727272727266,38.90904149678535,0.8883205456095483
0.4818181818181818,39.25452652177453,0.8967145386582727
0.49090909090909085,39.606488632006425,0.9047806413535314
0.5,39.96506849340582,0.9125188536953242
0.509090909090909,40.3304164776087,0.9199291756836514
0.5181818181818182,40.702692500679554,0.9270116073185126
0.5272727272727272,41.0820659353381,0.933766148599908
0.5363636363636364,41.46871558986142,0.9401927995278382
0.5454545454545454,41.86282974800057,0.9462915601023019
0.5545454545454546,42.26460626526789,0.9520624303233001
0.5636363636363636,42.67425271784484,0.9575054101908322
0.5727272727272728,43.09198660114059,0.9626204997048987
0.5818181818181818,43.51803557572494,0.9674076988654994
0.5909090909090909,43.952637758976195,0.9718670076726343
0.6,44.3960420613414,0.9759984261263033
0.609090909090909,44.84850856660849,0.9798019542265065
0.6181818181818182,45.310308956057725,0.9832775919732443
0.6272727272727272,45.78172697678805,0.9864253393665158
0.6363636363636364,46.26305895492393,0.9892451964063219
0.6454545454545454,46.75461435479776,0.9917371630926617
0.6545454545454545,47.25671638557893,0.9939012394255362
0.6636363636363636,47.76970265719664,0.9957374254049444
0.6727272727272727,48.29392588777275,0.9972457210308874
0.6818181818181818,48.82975466515612,0.9984261263033642
0.6909090909090908,49.37757426553954,0.999278641222375
0.7,49.93778753253325,0.9998032657879201
0.709090909090909,50.51081582049227,1.0
0.7181818181818181,51.09710000632996,0.9998688438586137
0.7272727272727272,51.697101574522456,0.9994097973637615
0.7363636363636363,52.31130378050942,0.9986228605154438
0.7454545454545454,52.94021289823377,0.99750803331366
0.7545454545454545,53.58435955815162,0.9960653157584105
0.7636363636363636,54.244300182673044,0.9942947078496951
0.7727272727272727,54.92061852669072,0.9921962095875141
0.7818181818181817,55.613927331605076,0.9897698209718673
0.7909090909090909,56.32487010208597,0.9870155420027541
0.7999999999999999,57.05412301571977,0.9839333726801759
0.8090909090909091,57.802396976693714,0.9805233130041315
0.8181818181818181,58.57043982577316,0.976785362974621
0.8272727272727273,59.35903872004739,0.9727195225916456
0.8363636363636363,60.169022697271586,0.9683257918552035
0.8454545454545453,61.00126544112423,0.9636041707652961
0.8545454545454545,61.85668826535965,0.9585546593219229
0.8636363636363635,62.73626333667456,0.9531772575250841
0.8727272727272727,63.641017158155385,0.9474719653747786
0.8818181818181817,64.57203433744868,0.9414387828710079
0.8909090909090909,65.53046166633641,0.9350777100137718
0.8999999999999999,66.51751254122632,0.9283887468030692
0.9090909090909091,67.53447175722869,0.9213718932389009
0.9181818181818181,68.58270071202298,0.9140271493212672
0.9272727272727272,69.663643059668,0.9063545150501672
0.9363636363636363,70.77883085893885,0.8983539904256016
0.9454545454545454,71.92989126573686,0.8900255754475703
0.9545454545454545,73.11855382468889,0.8813692701160729
0.9636363636363636,74.34665842131602,0.8723850744311098
0.9727272727272727,75.61616396319168,0.8630729883926813
0.9818181818181817,76.92915786644457,0.8534330120007874
0.9909090909090909,78.28786643289712,0.8434651452554266
1.0,79.69466621322542,0.8331693881566005
