r,q0,psi6_mean,psi6_std,psi2_mean,psi2_std,k_peak_mean,k_peak_std,n_unique_k,ring1_mean,broad_mean,n_seeds,k_ratio_mean,mode_entropy
0.1116,0.96,0.1296361397084333,0.07709696423789833,0.14810833476321844,0.09011117349374603,0.959337653307017,0.003979169239063238,50,0.9856362980242318,0.01436370495240039,50,0.9993100555281428,3.9120230053781455
0.1116,0.961,0.14454721959436612,0.07281738112401012,0.16120834599397674,0.08486028724729014,0.9593321794030636,0.004072027963205916,50,0.9863441712206881,0.01365583286821795,50,0.998264494696216,3.9120230053781455
0.1116,0.962,0.15420262329053538,0.07059479728969635,0.18368904695540952,0.09861653471309106,0.9603712063786953,0.004525527211900683,50,0.9857189854444068,0.01428101693106566,50,0.9983068673375212,3.9120230053781455
0.1116,0.963,0.14282158196442274,0.08358274101799489,0.16285467137702092,0.0952097214304117,0.9618951289408109,0.003638573013553477,50,0.9852541782864221,0.014745827122761875,50,0.9988526780278411,3.9120230053781455
0.1116,0.964,0.15386331255119712,0.07663713185509553,0.16211566261801508,0.08378627059327645,0.9621750073187253,0.0037201084625733587,50,0.9861469081457003,0.013853098365444431,50,0.9981068540650677,3.9120230053781455
0.1116,0.965,0.14480035307771194,0.07399113265364513,0.16419566457326937,0.09513339649271019,0.9630685357801816,0.003903439225238648,50,0.985544183549805,0.014455817289385218,50,0.9979984826737633,3.9120230053781455
0.1116,0.966,0.1363023377069145,0.08415953952092185,0.1512065434928269,0.08911038986282473,0.9644800685332284,0.004045968727153781,50,0.9850289911004247,0.014971025534796336,50,0.9984265719805677,3.9120230053781455
0.1116,0.967,0.14148616146085174,0.07805213527971291,0.16434163916692085,0.09573948019091182,0.965977476684855,0.004546261586039587,50,0.9861029866037859,0.01389701747700694,50,0.9989425818871304,3.9120230053781455
0.1116,0.968,0.14228275291180364,0.07963539926954723,0.1782536109078381,0.0920793767360355,0.9665665451171945,0.004958872389432512,50,0.9856741477284048,0.014325852942947423,50,0.99851915817892,3.9120230053781455
0.1116,0.969,0.14438889611713843,0.0863208545231722,0.16824137278333728,0.10117504457774348,0.9678706256034922,0.005166988910600561,50,0.9866696664611863,0.013330341268991049,50,0.9988344949468444,3.9120230053781455
0.1116,0.97,0.14945965225803212,0.07761654262889807,0.15309797198470623,0.0817796332666689,0.9685566905620645,0.0050677939646723725,50,0.9862480446652974,0.013751955203517432,50,0.9985120521258397,3.9120230053781455
0.1116,0.971,0.1292868361525842,0.06915925739114825,0.14679862912440136,0.09301172717966116,0.9697554176411587,0.005752801436664644,50,0.9858624208088727,0.0141375867534667,50,0.9987182467983097,3.9120230053781455
0.1116,0.972,0.1436948477946695,0.06631561298042253,0.16637721215439613,0.1152637864366119,0.9703929739556272,0.005968248990990485,50,0.9857060982280301,0.01429390468520959,50,0.9983466810243078,3.9120230053781455
0.1116,0.973,0.13391546321915307,0.07137317939990147,0.14209165636584933,0.08749218763096832,0.9705135297506305,0.005453404010959176,50,0.9858935991222987,0.01410640099085996,50,0.9974445321178115,3.9120230053781455
0.1116,0.974,0.15120369709729264,0.09139642282053234,0.18028223672153273,0.11554796505836411,0.9721169829099628,0.005911588328888109,50,0.9860319319166251,0.01396807665314252,50,0.998066717566697,3.9120230053781455
0.1116,0.975,0.13031917092072998,0.07228412424536944,0.1357385531315945,0.08742065208039772,0.9724468754432884,0.005663364666262063,50,0.9858933668812445,0.014106645990233431,50,0.9973814107110651,3.9120230053781455
0.1116,0.976,0.13618229610330584,0.06848851514925697,0.15868859025326476,0.08278390512613894,0.974531488638057,0.0042960250660742,50,0.9871227741022455,0.012877241384248887,50,0.9984953777029273,3.9120230053781455
