Rainfall_Path_U,SOM_Path_Forward_C,SOM_Path_Reverse_C
2.0,33.312882569202216,
1.9808080808080808,23.25576247529099,
1.9616161616161616,17.14567117523989,
1.9424242424242424,12.823747577892295,
1.9232323232323232,9.866341435643406,
1.904040404040404,7.970426870905728,
1.8848484848484848,6.7860107906606935,
1.8656565656565656,6.052610666663898,
1.8464646464646464,5.599293123416688,
1.8272727272727272,5.318636489447237,
1.8080808080808082,5.144155279706041,
1.788888888888889,5.034916637503314,
1.7696969696969698,4.965762457902072,
1.7505050505050506,4.921237328873216,
1.7313131313131314,4.891847210872122,
1.7121212121212122,4.871759891333573,
1.692929292929293,4.857392500980689,
1.6737373737373737,4.846543953960954,
1.6545454545454545,4.837862040527196,
1.6353535353535353,4.830516054796469,
1.6161616161616161,4.823995674151517,
1.596969696969697,4.81798739816007,
1.577777777777778,4.812298637304887,
1.5585858585858587,4.80681107684964,
1.5393939393939395,4.801452026776992,
1.5202020202020203,4.796176821803913,
1.5010101010101011,4.7909580100042,
1.481818181818182,4.785778711846251,
1.4626262626262627,4.78062854111473,
1.4434343434343435,4.775501099526195,
1.4242424242424243,4.770392437977754,
1.405050505050505,4.7653001115184255,
1.385858585858586,4.760222598979397,
1.3666666666666667,4.7551589465649435,
1.3474747474747475,4.750108548986519,
1.3282828282828283,4.7450710150643856,
1.309090909090909,4.740046085200203,
1.2898989898989899,4.735033580702144,
1.2707070707070707,4.730033372669169,
1.2515151515151515,4.725045362885237,
1.2323232323232323,4.720069472087844,
1.213131313131313,4.715105632764406,
1.1939393939393939,4.710153784728632,
1.1747474747474747,4.705213872403819,
1.1555555555555557,4.700285843154026,
1.1363636363636365,4.695369646258709,
1.1171717171717173,4.690465232282313,
1.097979797979798,4.685572552686424,
1.0787878787878789,4.680691559590781,
1.0595959595959596,4.675822205625731,
1.0404040404040404,4.670964443840795,
1.0212121212121212,4.6661182276477176,
1.002020202020202,4.661283510784665,
0.9828282828282828,4.65646024729345,
0.9636363636363636,4.651648391504718,
0.9444444444444444,4.646847898028077,
0.9252525252525254,4.64205872174523,
0.9060606060606062,4.637280817804977,
0.886868686868687,4.632514141619379,
0.8676767676767678,4.627758648860624,
0.8484848484848486,4.623014295458344,
0.8292929292929294,4.618281037597219,
0.8101010101010102,4.613558831714756,
0.790909090909091,4.608847634499181,
0.7717171717171718,4.604147402887424,
0.7525252525252526,4.599458094063154,
0.7333333333333334,4.594779665454839,
0.7141414141414142,4.59011207473387,
0.694949494949495,4.585455279812681,
0.6757575757575758,4.580809238842919,
0.6565656565656566,4.5761739102136145,
0.6373737373737374,4.571549252549376,
0.6181818181818182,4.566935224708611,
0.5989898989898992,4.562331785781758,
0.57979797979798,4.557738895089537,
0.5606060606060608,4.55315651218122,
0.5414141414141416,4.5485845968329075,
0.5222222222222224,4.54402310904584,
0.5030303030303032,4.539472009044705,
0.48383838383838396,4.534931257275983,
0.46464646464646475,4.530400814406281,
0.44545454545454555,4.525880641320709,
0.42626262626262634,4.52137069912125,
0.40707070707070714,4.516870949125166,
0.38787878787878793,4.512381352863395,
0.36868686868686873,4.50790187207899,
0.3494949494949495,4.503432468725545,
0.3303030303030303,4.498973104965659,
0.31111111111111134,4.4945237431694,
0.29191919191919213,4.490084345912789,
0.27272727272727293,4.485654875976291,
0.2535353535353537,4.481235296343341,
0.23434343434343452,4.476825570198847,
0.21515151515151532,4.472425660927744,
0.1959595959595961,4.46803553211354,
0.1767676767676769,4.463655147536879,
0.1575757575757577,4.459284471174123,
0.1383838383838385,4.454923467195935,
0.1191919191919193,4.447547734415125,
0.1,4.420851633669498,
2.0,,4.9115778561304255
1.9808080808080808,,4.906139886309131
1.9616161616161616,,4.900715791963368
1.9424242424242424,,4.895305510363276
1.9232323232323232,,4.889908977569364
1.904040404040404,,4.884526127430058
1.8848484848484848,,4.87915688995195
1.8656565656565656,,4.873801188648822
1.8464646464646464,,4.868458936227967
1.8272727272727272,,4.863130027569379
1.808080808080808,,4.857814328297107
1.7888888888888888,,4.85251165617342
1.7696969696969698,,4.847221750806066
1.7505050505050506,,4.8419442243247035
1.7313131313131314,,4.836678481066774
1.7121212121212122,,4.831423586795696
1.692929292929293,,4.826178055730961
1.6737373737373737,,4.820939503729256
1.6545454545454545,,4.815704083478488
1.6353535353535353,,4.8104655646698715
1.6161616161616161,,4.805213835957945
1.596969696969697,,4.7999324651929
1.5777777777777777,,4.794594725854631
1.5585858585858585,,4.789157125363369
1.5393939393939393,,4.783548864654411
1.52020202020202,,4.77765467099543
1.501010101010101,,4.771286838045007
1.481818181818182,,4.764139688942639
1.4626262626262627,,4.755715416088632
1.4434343434343435,,4.745203315747784
1.4242424242424243,,4.7312925011141695
1.405050505050505,,4.7155075194215526
1.385858585858586,,4.6999842059384065
1.3666666666666667,,4.684716781628682
1.3474747474747475,,4.669699664444988
1.3282828282828283,,4.654927460574747
1.309090909090909,,4.640394956169887
1.2898989898989899,,4.626097109528287
1.2707070707070707,,4.612029043697587
1.2515151515151515,,4.598186039474147
1.2323232323232323,,4.584563528771981
1.213131313131313,,4.571157088338285
1.1939393939393939,,4.557962433793802
1.1747474747474747,,4.544975413977804
1.1555555555555557,,4.532192005578643
1.1363636363636365,,4.519608308031991
1.1171717171717173,,4.507220538669618
1.097979797979798,,4.495025028102053
1.0787878787878789,,4.483018215818348
1.0595959595959596,,4.471196645985276
1.0404040404040404,,4.459556963426152
1.0212121212121212,,4.448095909755225
1.002020202020202,,4.43681031963605
0.9828282828282827,,4.425697117119173
0.9636363636363635,,4.414753311992389
0.9444444444444443,,4.403975996039864
0.9252525252525252,,4.393362339044725
0.906060606060606,,4.382909584267398
0.8868686868686868,,4.372615042962172
0.8676767676767676,,4.362476087213279
0.8484848484848484,,4.352490139905939
0.8292929292929292,,4.342654659876831
0.81010101010101,,4.332967119011944
0.7909090909090909,,4.323424965946881
0.7717171717171717,,4.314025567527234
0.7525252525252525,,4.304766113397482
0.7333333333333333,,4.295643459504069
0.7141414141414141,,4.286653870436189
0.6949494949494949,,4.277792594271148
0.6757575757575757,,4.26905316012895
0.6565656565656565,,4.260426216698695
0.6373737373737373,,4.2518976109171165
0.6181818181818182,,4.243445208874233
0.598989898989899,,4.2350336347846635
0.5797979797979798,,4.2266055639327025
0.5606060606060606,,4.218067311986118
0.5414141414141413,,4.2092649846514245
0.5222222222222221,,4.199945005992764
0.503030303030303,,4.189688799556333
0.48383838383838385,,4.177804712807822
0.46464646464646464,,4.1631492399904175
0.44545454545454544,,4.143831405392915
0.42626262626262623,,4.116724249116166
0.407070707070707,,4.076658349214499
0.3878787878787878,,4.015092570690958
0.3686868686868686,,3.9179289150911702
0.3494949494949495,,3.793250837094102
0.3303030303030303,,3.691154016210584
0.3111111111111111,,3.6122637488095046
0.2919191919191919,,3.5561635883009552
0.2727272727272727,,3.5228748339050284
0.2535353535353535,,3.5127943531710883
0.23434343434343433,,3.526744856004506
0.21515151515151515,,3.5661791410840817
0.19595959595959594,,3.633577838195246
0.17676767676767677,,3.7330762247853864
0.1575757575757576,,3.8713525869484506
0.1383838383838384,,4.05879119501373
0.1191919191919192,,4.31081159219511
0.1,,4.648740530260892
